Name,IMDB Link,IMDB Headshot,Wikipedia Link,Wikipedia Headshot
Jon Pollack,,,,
Jon Vitti,,,https://en.wikipedia.org/wiki/Jon_Vitti,
Jonathan Green,,,https://en.wikipedia.org/wiki/Jonathan_Green,
Jonathan Hughes,,,https://en.wikipedia.org/wiki/Jonathan_Hughes,
Jordan Blum,,,https://en.wikipedia.org/wiki/Jordan_Blum,
Jorma Taccone,,,https://en.wikipedia.org/wiki/Jorma_Taccone,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Jorma_Taccone_by_Gage_Skidmore.jpg/500px-Jorma_Taccone_by_Gage_Skidmore.jpg
Josh Siegal,,,,
Joss Whedon,,,https://en.wikipedia.org/wiki/Joss_Whedon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Joss_Whedon_by_Gage_Skidmore_8.jpg/500px-Joss_Whedon_by_Gage_Skidmore_8.jpg
Juan J. Campanella,,,https://en.wikipedia.org/wiki/Juan_José_Campanella,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Juan_Jos%C3%A9_Camapanella_2019.jpg/500px-Juan_Jos%C3%A9_Camapanella_2019.jpg
Julian Farino,,,https://en.wikipedia.org/wiki/Julian_Farino,
Julie Anne Robinson,,,https://en.wikipedia.org/wiki/Julie_Anne_Robinson,
Justin Lin,,,https://en.wikipedia.org/wiki/Justin_Lin,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Justin_Lin_at_the_2025_Sundance_Film_Festival_%28cropped%29.jpg/500px-Justin_Lin_at_the_2025_Sundance_Film_Festival_%28cropped%29.jpg
Justin Spitzer,,,https://en.wikipedia.org/wiki/Justin_Spitzer,
Karey Dornetto,,,https://en.wikipedia.org/wiki/Karey_Dornetto,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Karey_Dornetto.PNG/500px-Karey_Dornetto.PNG
Katie Dippold,,,https://en.wikipedia.org/wiki/Katie_Dippold,
Kay Cannon,,,https://en.wikipedia.org/wiki/Kay_Cannon,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Kay_Cannon_at_SXSW_Red_Carpet_premiere_of_BLOCKERS_%2826876904668%29_%28cropped%29.jpg/500px-Kay_Cannon_at_SXSW_Red_Carpet_premiere_of_BLOCKERS_%2826876904668%29_%28cropped%29.jpg
Kelly Cantley,,,,
Ken Kwapis,,,https://en.wikipedia.org/wiki/Ken_Kwapis,https://upload.wikimedia.org/wikipedia/commons/4/44/Ken_Kwapis_2008.jpg
Ken Whittingham,,,https://en.wikipedia.org/wiki/Ken_Whittingham,
Kevin Rodney Sullivan,,,https://en.wikipedia.org/wiki/Kevin_Rodney_Sullivan,
Kyle Newacheck,,,https://en.wikipedia.org/wiki/Kyle_Newacheck,
Lang Fisher,,,https://en.wikipedia.org/wiki/Isla_Fisher,https://upload.wikimedia.org/wikipedia/commons/a/ab/Isla_Fisher_2013.jpg
Larry Wilmore,,,https://en.wikipedia.org/wiki/Larry_Wilmore,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Larry_Wilmore_by_Gage_Skidmore.jpg/500px-Larry_Wilmore_by_Gage_Skidmore.jpg
Lauren Gurganous,,,,
Lauren Pomerantz,,,,
Lee Eisenberg,,,https://en.wikipedia.org/wiki/Lee_Eisenberg,
Lee Kirk,,,https://en.wikipedia.org/wiki/Tommy_Kirk,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/TommyKirk_Flubber.jpg/500px-TommyKirk_Flubber.jpg
Lester Lewis,,,https://en.wikipedia.org/wiki/Lester_Lewis,
Linda Mendoza,,,https://en.wikipedia.org/wiki/Linda_Mendoza,
Liz Cackowski,,,https://en.wikipedia.org/wiki/Liz_Cackowski,
Luke Del Tredici,,,,
Maggie Bandur,,,https://en.wikipedia.org/wiki/Maggie_Bandur,
Marc Webb,,,https://en.wikipedia.org/wiki/Marc_Webb,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Marc_Webb_by_Gage_Skidmore_2.jpg/500px-Marc_Webb_by_Gage_Skidmore_2.jpg
Mark Stegemann,,,,
Matt Fusfeld,,,,
Matt Hubbard,,,https://en.wikipedia.org/wiki/Matt_Hubbard,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Matt_Hubbard.jpg/500px-Matt_Hubbard.jpg
Matt Lawton,,,https://en.wikipedia.org/wiki/Matt_Lawton,
Matt Murray,,,,
Matt Roller,,,,
Matt Sohn,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/AbbottElementary.png/500px-AbbottElementary.png
Matt Warburton,,,https://en.wikipedia.org/wiki/Matt_Warburton,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Matt_Warburton_by_Gage_Skidmore.jpg/500px-Matt_Warburton_by_Gage_Skidmore.jpg
Megan Amram,,,https://en.wikipedia.org/wiki/Megan_Amram,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Megan_Amram_in_2012_%28cropped%29.jpg/500px-Megan_Amram_in_2012_%28cropped%29.jpg
Megan Ganz,,,https://en.wikipedia.org/wiki/Megan_Ganz,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Megan_Ganz_%282012%29_%28cropped%29.jpg/500px-Megan_Ganz_%282012%29_%28cropped%29.jpg
Michael Engler,,,https://en.wikipedia.org/wiki/Michael_Engler,https://upload.wikimedia.org/wikipedia/commons/e/e9/Michael_Engler%2C_October_2019.jpg
Michael McCullers,,,https://en.wikipedia.org/wiki/Michael_McCullers,
Michael Patrick Jann,,,https://en.wikipedia.org/wiki/Michael_Patrick_Jann,
Michael Schur,,,https://en.wikipedia.org/wiki/Michael_Schur,https://upload.wikimedia.org/wikipedia/commons/0/07/Michael_Schur_2012_%28cropped%29.jpg
Michael Slovis,,,https://en.wikipedia.org/wiki/Michael_Slovis,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Michael_Slovis_%28cropped%29.jpg/500px-Michael_Slovis_%28cropped%29.jpg
Michael Spiller,,,https://en.wikipedia.org/wiki/Michael_Spiller,
Michael Trim,,,https://en.wikipedia.org/wiki/Michael_Trim,
Miguel Arteta,,,https://en.wikipedia.org/wiki/Miguel_Arteta,
Mike Scully,,,https://en.wikipedia.org/wiki/Mike_Scully,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Mike_Scully_by_Gage_Skidmore.jpg/500px-Mike_Scully_by_Gage_Skidmore.jpg
Millicent Shelton,,,https://en.wikipedia.org/wiki/Millicent_Shelton,
Mindy Kaling,,,https://en.wikipedia.org/wiki/Mindy_Kaling,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Mindy_Kaling_by_Claire_Leahy_%28cropped%29.jpg/500px-Mindy_Kaling_by_Claire_Leahy_%28cropped%29.jpg
Monica Padrick,,,https://en.wikipedia.org/wiki/Praise_Petey,
Morgan Sackett,,,https://en.wikipedia.org/wiki/Morgan_Sackett,
Nat Faxon,,,https://en.wikipedia.org/wiki/Nat_Faxon,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Nat_Faxon_July_14%2C_2014_%28cropped%29.jpg/500px-Nat_Faxon_July_14%2C_2014_%28cropped%29.jpg
Nate DiMeo,,,https://en.wikipedia.org/wiki/Nate_DiMeo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Nate_DiMeo_at_Solid_State_Books.jpg/500px-Nate_DiMeo_at_Solid_State_Books.jpg
Neil Goldman,,,https://en.wikipedia.org/wiki/Neil_Goldman,
Nick Offerman,,,https://en.wikipedia.org/wiki/Nick_Offerman,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Nick_Offerman_2022_National_Book_Festival_%2852342575962%29_%28cropped%29.jpg/500px-Nick_Offerman_2022_National_Book_Festival_%2852342575962%29_%28cropped%29.jpg
Nicole Holofcener,,,https://en.wikipedia.org/wiki/Nicole_Holofcener,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/58th_Karlovy_Vary_International_Film_Festival%2C_Nicole_Holofcener_06.jpg/500px-58th_Karlovy_Vary_International_Film_Festival%2C_Nicole_Holofcener_06.jpg
Niki Schwartz-Wright,,,,
Nina Pedrad,,,https://en.wikipedia.org/wiki/Nasim_Pedrad,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Nasim_Pedrad.jpg/500px-Nasim_Pedrad.jpg
Norm Hiscock,,,https://en.wikipedia.org/wiki/Norm_Hiscock,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Norm_Hiscock_parks_and_recreation.jpg/500px-Norm_Hiscock_parks_and_recreation.jpg
Owen Ellickson,,,,
Parker Deay,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/American_dad_logo.svg/500px-American_dad_logo.svg.png
Paul Feig,,,https://en.wikipedia.org/wiki/Paul_Feig,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Paul_Feig_2024.jpg/500px-Paul_Feig_2024.jpg
Paul Lieberstein,,,https://en.wikipedia.org/wiki/Paul_Lieberstein,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/PaulLieberstein.jpg/500px-PaulLieberstein.jpg
Paula Pell,,,https://en.wikipedia.org/wiki/Paula_Pell,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Paula_Pell_on_Employee_of_the_Month.jpg/500px-Paula_Pell_on_Employee_of_the_Month.jpg
Peter Ocko,,,https://en.wikipedia.org/wiki/Peter_Ocko,
Rachel Axler,,,https://en.wikipedia.org/wiki/Rachel_Axler,https://upload.wikimedia.org/wikipedia/en/0/00/Rachel_Axler.jpg
Rachna Fruchbom,,,,
Rainn Wilson,,,https://en.wikipedia.org/wiki/Rainn_Wilson,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Rainn_Wilson_2011_Shankbone_2.JPG/500px-Rainn_Wilson_2011_Shankbone_2.JPG
Randall Einhorn,,,https://en.wikipedia.org/wiki/Randall_Einhorn,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Randall_Einhorn_by_Gage_Skidmore.jpg/500px-Randall_Einhorn_by_Gage_Skidmore.jpg
Reggie Hudlin,,,https://en.wikipedia.org/wiki/Reginald_Hudlin,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/10.5.17ReginaldHudlinByLuigiNovi1.jpg/500px-10.5.17ReginaldHudlinByLuigiNovi1.jpg
Richard Ayoade,,,https://en.wikipedia.org/wiki/Richard_Ayoade,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Richard_Ayoade_20241205.jpg/500px-Richard_Ayoade_20241205.jpg
Richard Shepard,,,https://en.wikipedia.org/wiki/Richard_Shepard,
Ricky Gervais,,,https://en.wikipedia.org/wiki/Ricky_Gervais,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/GervaisPall230921_%2815_of_17%29_%2851527411486%29_%28cropped%29.jpg/500px-GervaisPall230921_%2815_of_17%29_%2851527411486%29_%28cropped%29.jpg
Rob Schrab,,,https://en.wikipedia.org/wiki/Rob_Schrab,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Rob_Schrab.jpg/500px-Rob_Schrab.jpg
Robert B. Weide,,,https://en.wikipedia.org/wiki/Robert_B._Weide,
Robert Carlock,,,https://en.wikipedia.org/wiki/Robert_Carlock,
Robert Padnick,,,,
Rodman Flender,,,https://en.wikipedia.org/wiki/Rodman_Flender,
Roger Nygard,,,https://en.wikipedia.org/wiki/Roger_Nygard,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Roger_Nygard_at_the_2011_Humanist_Film_Festival.jpg/500px-Roger_Nygard_at_the_2011_Humanist_Film_Festival.jpg
Ron Weiner,,,https://en.wikipedia.org/wiki/Ron_Weiner,
Ryan Koh,,,https://en.wikipedia.org/wiki/Ryan_Koh,
Ryan Ridley,,,,
Sam Means,,,https://en.wikipedia.org/wiki/Sam_Means,
Scott Ellis,,,https://en.wikipedia.org/wiki/Scott_Ellis,
Seth Gordon,,,https://en.wikipedia.org/wiki/Seth_Gordon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Seth_Gordon_at_PaleyFest_Fall_TV_Previews_2014.jpg/500px-Seth_Gordon_at_PaleyFest_Fall_TV_Previews_2014.jpg
Seth Gordon Harold Ramis,,,,
Sona Panos,,,,
Stephen Lee Davis,,,,
Stephen Merchant,,,https://en.wikipedia.org/wiki/Stephen_Merchant,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/StephenMerchantAltNov09.jpg/500px-StephenMerchantAltNov09.jpg
Steve Basilone,,,,
Steve Buscemi,,,https://en.wikipedia.org/wiki/Steve_Buscemi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Steve_Buscemi_crop.jpg/500px-Steve_Buscemi_crop.jpg
Steve Carell,,,https://en.wikipedia.org/wiki/Steve_Carell,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Steve_Carell_in_2021_%28cropped%29.jpg/500px-Steve_Carell_in_2021_%28cropped%29.jpg
Steve Hely,,,https://en.wikipedia.org/wiki/Steve_Hely,
Steven Sprung,,,,
Steven Tsuchida,,,https://en.wikipedia.org/wiki/Steven_Tsuchida,
Tami Sagher,,,https://en.wikipedia.org/wiki/Tami_Sagher,https://upload.wikimedia.org/wikipedia/commons/5/54/Tami_Sagher_at_Don%27t_Think_Twice_premiere_%28cropped%29.jpg
Tim Hobert,,,,
Tim McAuliffe,,,https://en.wikipedia.org/wiki/Tim_McAuliffe,
Tim Saccardo,,,https://en.wikipedia.org/wiki/Tim_Saccardo,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/CommunityWritersP5.jpg/500px-CommunityWritersP5.jpg
Tina Fey,,,https://en.wikipedia.org/wiki/Tina_Fey,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/TinaFey-byPhilipRomano.jpg/500px-TinaFey-byPhilipRomano.jpg
Todd Holland,,,https://en.wikipedia.org/wiki/Todd_Holland,
Tom Ceraulo,,,,
Tom Magill,,,,
Tracey Wigfield,,,https://en.wikipedia.org/wiki/Tracey_Wigfield,
Tricia Brock,,,https://en.wikipedia.org/wiki/Tricia_Brock,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Superchickdallas2008.JPG/500px-Superchickdallas2008.JPG
Tristram Shapeero,,,https://en.wikipedia.org/wiki/Tristram_Shapeero,
Troy Miller,,,https://en.wikipedia.org/wiki/Troy_Miller,
Tucker Cawley,,,https://en.wikipedia.org/wiki/Tucker_Cawley,
Tucker Gates,,,https://en.wikipedia.org/wiki/Tucker_Gates,
Vali Chandrasekaran,,,,
Vera Santamaria,,,,
Victor Nelli Jr.,,,https://en.wikipedia.org/wiki/Victor_Nelli_Jr.,
Warren Lieberstein,,,https://en.wikipedia.org/wiki/Warren_Lieberstein,
Wendey Stanzler,,,https://en.wikipedia.org/wiki/Wendey_Stanzler,
Zach Paez,,,,